Isotope conc Coh b Abs xs: see http://www.ncnr.nist.gov/resources/n-lengths/index.html 
177Hf 	18.6 	0.8(1.0) 	373(10) 
178Hf 	27.1 	5.9 	84(4) 
179Hf 	13.7 	7.46 	41(3) 
180Hf 	35.2 	13.2 	13.04 
Ta 	NOVAL 	6.91 	20.6 
180Ta 	0.012 	7(2) 	563(60) 
181Ta 	99.988 	6.91 	20.5 
W 	NOVAL 	4.86 	18.3 
180W 	0.1 	5(3) 	30(20) 
182W 	26.3 	6.97 	20.7 
183W 	14.3 	6.53 	10.1 
184W 	30.7 	7.48 	1.7 
186W 	28.6 	-0.72 	37.9 
Re 	NOVAL 	9.2 	89.7(1) 
185Re 	37.4 	9.0 	112(2) 
187Re 	62.6 	9.3 	76.4(1) 
Os 	NOVAL 	10.7 	16 
184Os 	0.02 	10(2) 	3000(150) 
186Os 	1.58 	11.6(1.7) 	80(13) 
187Os 	1.6 	10(2) 	320(10) 
188Os 	13.3 	7.6 	4.7 
189Os 	16.1 	10.7 	25(4) 
190Os 	26.4 	11.0 	13.1 
192Os 	41 	11.5 	2 
Ir 	NOVAL 	10.6 	425(2) 
Pt 	NOVAL 	9.60 	10.3 
190Pt 	0.01 	9.0 	152(4) 
192Pt 	0.79 	9.9 	10.0(2.5) 
194Pt 	32.9 	10.55 	1.44 
195Pt 	33.8 	8.83 	27.5(1.2) 
196Pt 	25.3 	9.89 	0.72 
198Pt 	7.2 	7.8 	3.66 
Au 	100 	7.63 	98.65 
Hg 	NOVAL 	12.692 	372.3(4.0) 
196Hg 	0.2 	30.3(1.0) 	3080(180) 
199Hg 	17 	16.9 	2150(48) 
Tl 	NOVAL 	8.776 	3.43 
203Tl 	29.524 	6.99 	11.4 
205Tl 	70.476 	9.52 	0.104 
Pb 	NOVAL 	9.405 	0.171 
204Pb 	1.4 	9.90 	0.65 
206Pb 	24.1 	9.22 	0.03 
207Pb 	22.1 	9.28 	0.699 
208Pb 	52.4 	9.50 	0.00048 
Bi 	100 	8.532 	0.0338 
Po 	NOVAL 	NOVAL 	NOVAL 
At 	NOVAL 	NOVAL 	NOVAL 
Rn 	NOVAL 	NOVAL 	NOVAL 
Fr 	NOVAL 	NOVAL 	NOVAL 
Ra 	(1.60E3 a) 	10.0(1.0) 	12.8(1.5) 
Ac 	NOVAL 	NOVAL 	NOVAL 
Th 	100 	10.31 	7.37 
Pa 	(3.28E4 a) 	9.1 	200.6(2.3) 
U 	NOVAL 	8.417 	7.57 
233U 	(1.59E5 a) 	10.1 	574.7(1.0) 
234U 	0.005 	12.4 	100.1(1.3) 
235U 	0.72 	10.47 	680.9(1.1) 
238U 	99.275 	8.402 	2.68 
Np 	(2.14E6 a) 	10.55 	175.9(2.9) 
Am 	(7.37E3 a) 	8.3 	75.3(1.8) 
244Cm 	(18.10 a) 	9.5 	16.2(1.2) 
246Cm 	(4.7E3 a) 	9.3 	1.36 
248Cm 	(3.5E5 a) 	7.7 	3
